,combo_BOM,book_title_BOM,chapter_number_BOM,word_count_BOM,bible_term_in_BOM,Direct Quote,Shared Language,Similar Theme,cross_ref_count,verse_count_BOM
0,1 Nephi 1,1 Nephi,1,906,17,0.0,0.0,1.0,1.0,20
1,1 Nephi 2,1 Nephi,2,879,19,0.0,0.0,0.0,0.0,24
2,1 Nephi 3,1 Nephi,3,1065,31,0.0,0.0,0.0,0.0,31
3,1 Nephi 4,1 Nephi,4,1261,35,0.0,0.0,0.0,0.0,38
4,1 Nephi 5,1 Nephi,5,761,18,0.0,0.0,0.0,0.0,22
5,1 Nephi 6,1 Nephi,6,202,6,0.0,0.0,0.0,0.0,6
6,1 Nephi 7,1 Nephi,7,992,18,0.0,0.0,0.0,0.0,22
7,1 Nephi 8,1 Nephi,8,1221,17,0.0,0.0,0.0,0.0,38
8,1 Nephi 9,1 Nephi,9,259,4,0.0,0.0,1.0,1.0,6
9,1 Nephi 10,1 Nephi,10,916,16,0.0,1.0,0.0,1.0,22
10,1 Nephi 11,1 Nephi,11,1314,26,0.0,0.0,0.0,0.0,36
11,1 Nephi 12,1 Nephi,12,860,13,0.0,0.0,0.0,0.0,23
12,1 Nephi 13,1 Nephi,13,1892,36,0.0,1.0,1.0,2.0,42
13,1 Nephi 14,1 Nephi,14,1282,24,0.0,0.0,2.0,2.0,30
14,1 Nephi 15,1 Nephi,15,1484,28,0.0,0.0,3.0,3.0,36
15,1 Nephi 16,1 Nephi,16,1632,31,0.0,0.0,0.0,0.0,39
16,1 Nephi 17,1 Nephi,17,2523,43,0.0,2.0,3.0,5.0,55
17,1 Nephi 18,1 Nephi,18,1216,21,0.0,0.0,0.0,0.0,25
18,1 Nephi 19,1 Nephi,19,1290,23,0.0,1.0,4.0,5.0,24
19,1 Nephi 20,1 Nephi,20,694,12,9.0,7.0,6.0,22.0,22
20,1 Nephi 21,1 Nephi,21,952,17,16.0,6.0,8.0,30.0,26
21,1 Nephi 22,1 Nephi,22,1506,29,0.0,1.0,8.0,9.0,31
22,2 Nephi 1,2 Nephi,1,1540,23,0.0,0.0,3.0,3.0,32
23,2 Nephi 2,2 Nephi,2,1456,27,0.0,0.0,4.0,4.0,30
24,2 Nephi 3,2 Nephi,3,1166,24,0.0,1.0,1.0,2.0,25
25,2 Nephi 4,2 Nephi,4,1298,25,0.0,0.0,0.0,0.0,35
26,2 Nephi 5,2 Nephi,5,1168,23,0.0,0.0,0.0,0.0,34
27,2 Nephi 6,2 Nephi,6,895,16,2.0,3.0,7.0,12.0,18
28,2 Nephi 7,2 Nephi,7,403,10,5.0,1.0,3.0,9.0,11
29,2 Nephi 8,2 Nephi,8,808,16,14.0,2.0,8.0,24.0,25
30,2 Nephi 9,2 Nephi,9,2384,50,1.0,1.0,5.0,7.0,54
31,2 Nephi 10,2 Nephi,10,962,23,0.0,0.0,9.0,9.0,25
32,2 Nephi 11,2 Nephi,11,338,8,0.0,0.0,2.0,2.0,8
33,2 Nephi 12,2 Nephi,12,643,18,15.0,5.0,1.0,21.0,22
