,combo_ISH,combo_BOM,Duhms_Class,number_shared_verses,chapter_number_ISH,Direct Quote,Shared Language,Similar Theme
0,Isaiah 1,1 Nephi 19,Proto,1,1.0,0,0,1
1,Isaiah 1,2 Nephi 11,Proto,1,1.0,0,0,1
2,Isaiah 1,2 Nephi 13,Proto,1,1.0,0,0,1
3,Isaiah 1,2 Nephi 15,Proto,1,1.0,0,0,1
4,Isaiah 1,2 Nephi 19,Proto,1,1.0,0,0,1
5,Isaiah 1,2 Nephi 25,Proto,1,1.0,0,0,1
6,Isaiah 1,2 Nephi 6,Proto,2,1.0,0,0,2
7,Isaiah 1,3 Nephi 20,Proto,1,1.0,0,0,1
8,Isaiah 1,Alma 60,Proto,1,1.0,0,0,1
9,Isaiah 1,Helaman 7,Proto,1,1.0,0,0,1
10,Isaiah 1,Mosiah 11,Proto,1,1.0,0,0,1
45,Isaiah 2,2 Nephi 21,Proto,1,2.0,0,0,1
46,Isaiah 2,2 Nephi 8,Proto,1,2.0,0,0,1
47,Isaiah 2,3 Nephi 20,Proto,1,2.0,0,0,1
48,Isaiah 2,3 Nephi 21,Proto,1,2.0,0,0,1
44,Isaiah 2,2 Nephi 15,Proto,1,2.0,0,1,0
43,Isaiah 2,2 Nephi 12,Proto,18,2.0,15,3,0
85,Isaiah 3,Alma 4,Proto,1,3.0,0,0,1
83,Isaiah 3,2 Nephi 13,Proto,19,3.0,19,0,0
84,Isaiah 3,Alma 31,Proto,1,3.0,0,0,1
107,Isaiah 4,2 Nephi 23,Proto,1,4.0,0,0,1
106,Isaiah 4,2 Nephi 14,Proto,2,4.0,2,0,0
185,Isaiah 5,Moroni 7,Proto,1,5.0,0,0,1
184,Isaiah 5,Jacob 5,Proto,7,5.0,0,1,6
183,Isaiah 5,Helaman 7,Proto,1,5.0,0,0,1
182,Isaiah 5,Helaman 16,Proto,1,5.0,0,0,1
179,Isaiah 5,2 Nephi 29,Proto,1,5.0,0,0,1
173,Isaiah 5,1 Nephi 22,Proto,1,5.0,0,0,1
174,Isaiah 5,2 Nephi 13,Proto,1,5.0,0,0,1
175,Isaiah 5,2 Nephi 15,Proto,25,5.0,24,1,0
177,Isaiah 5,2 Nephi 19,Proto,2,5.0,0,2,0
178,Isaiah 5,2 Nephi 20,Proto,1,5.0,0,1,0
181,Isaiah 5,Helaman 15,Proto,1,5.0,0,0,1
180,Isaiah 5,3 Nephi 21,Proto,1,5.0,0,1,0
176,Isaiah 5,2 Nephi 18,Proto,1,5.0,0,1,0
278,Isaiah 6,2 Nephi 16,Proto,12,6.0,12,0,0
279,Isaiah 6,Alma 36,Proto,2,6.0,0,0,2
280,Isaiah 6,Mosiah 27,Proto,1,6.0,0,0,1
322,Isaiah 7,Alma 30,Proto,1,7.0,0,0,1
332,Isaiah 7,Helaman 6,Proto,1,7.0,0,0,1
331,Isaiah 7,Alma 8,Proto,4,7.0,0,0,4
330,Isaiah 7,Alma 7,Proto,1,7.0,0,1,0
329,Isaiah 7,Alma 5,Proto,2,7.0,0,0,2
328,Isaiah 7,Alma 45,Proto,2,7.0,0,0,2
327,Isaiah 7,Alma 43,Proto,1,7.0,0,0,1
326,Isaiah 7,Alma 35,Proto,2,7.0,0,0,2
324,Isaiah 7,Alma 32,Proto,1,7.0,0,0,1
333,Isaiah 7,Mosiah 17,Proto,2,7.0,0,0,2
323,Isaiah 7,Alma 31,Proto,4,7.0,0,0,4
316,Isaiah 7,Alma 10,Proto,1,7.0,0,0,1
321,Isaiah 7,Alma 24,Proto,1,7.0,0,0,1
320,Isaiah 7,Alma 2,Proto,4,7.0,0,0,4
319,Isaiah 7,Alma 17,Proto,1,7.0,0,0,1
325,Isaiah 7,Alma 33,Proto,1,7.0,0,0,1
334,Isaiah 7,Mosiah 18,Proto,2,7.0,0,0,2
336,Isaiah 7,Mosiah 24,Proto,2,7.0,0,0,2
318,Isaiah 7,Alma 14,Proto,1,7.0,0,0,1
311,Isaiah 7,2 Nephi 15,Proto,1,7.0,0,1,0
312,Isaiah 7,2 Nephi 17,Proto,24,7.0,24,0,0
335,Isaiah 7,Mosiah 23,Proto,2,7.0,0,0,2
313,Isaiah 7,2 Nephi 18,Proto,1,7.0,0,0,1
314,Isaiah 7,2 Nephi 19,Proto,1,7.0,0,0,1
317,Isaiah 7,Alma 12,Proto,2,7.0,0,0,2
340,Isaiah 7,Mosiah 29,Proto,1,7.0,0,0,1
339,Isaiah 7,Mosiah 27,Proto,3,7.0,0,0,3
338,Isaiah 7,Mosiah 26,Proto,6,7.0,0,0,6
337,Isaiah 7,Mosiah 25,Proto,2,7.0,0,0,2
315,Isaiah 7,Alma 1,Proto,4,7.0,0,0,4
342,Isaiah 8,2 Nephi 18,Proto,22,8.0,22,0,0
343,Isaiah 8,2 Nephi 19,Proto,1,8.0,0,0,1
344,Isaiah 8,Jacob 4,Proto,1,8.0,0,0,1
341,Isaiah 8,2 Nephi 17,Proto,2,8.0,0,2,0
351,Isaiah 9,Mosiah 15,Proto,1,9.0,0,1,0
352,Isaiah 9,Mosiah 7,Proto,1,9.0,0,0,1
345,Isaiah 9,2 Nephi 13,Proto,1,9.0,0,1,0
346,Isaiah 9,2 Nephi 19,Proto,21,9.0,21,0,0
347,Isaiah 9,2 Nephi 20,Proto,1,9.0,0,0,1
348,Isaiah 9,2 Nephi 9,Proto,1,9.0,0,0,1
349,Isaiah 9,Alma 11,Proto,1,9.0,0,0,1
350,Isaiah 9,Jacob 5,Proto,1,9.0,0,0,1
12,Isaiah 10,2 Nephi 18,Proto,1,10.0,0,1,0
14,Isaiah 10,2 Nephi 20,Proto,34,10.0,34,0,0
13,Isaiah 10,2 Nephi 19,Proto,2,10.0,0,2,0
