,verse_title_ISH,book_title_ISH,chapter_number_ISH,verse_number_ISH,scripture_text_ISH,verse_title_BOM,book_title_BOM,chapter_number_BOM,verse_number_BOM,scripture_text_BOM,scripture_cleaned_ISH,scripture_cleaned_BOM,similarity_score,similarity_category,word_count_ISH,word_count_BOM,bible_term_in_ISH,bible_term_in_BOM,Duhms_Class,bible_term_name_ISH,bible_term_name_BOM
0,Isaiah 1:1,Isaiah,1.0,1.0,"THE vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.",1 Nephi 19:23,1 Nephi,19.0,23.0,"And I did read many things unto them which were written in the books of Moses; but that I might more fully persuade them to believe in the Lord their Redeemer I did read unto them that which was written by the prophet Isaiah; for I did liken all scriptures unto us, that it might be for our profit and learning.",vision isaiah son amoz saw concerning judah jerusalem days uzziah jotham ahaz hezekiah kings judah,read many things unto written books moses might fully persuade believe lord redeemer read unto written prophet isaiah liken scriptures unto us might profit learning,0.051639777949432225,Similar Theme,27,61,True,True,Proto,isaiah,moses
1,Isaiah 1:1,Isaiah,1.0,1.0,"THE vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.",2 Nephi 6:4,2 Nephi,6.0,4.0,"And now, behold, I would speak unto you concerning things which are, and which are to come; wherefore, I will read you the words of Isaiah. And they are the words which my brother has desired that I should speak unto you. And I speak unto you for your sakes, that ye may learn and glorify the name of your God.",vision isaiah son amoz saw concerning judah jerusalem days uzziah jotham ahaz hezekiah kings judah,behold would speak unto concerning things come wherefore read words isaiah words brother desired speak unto speak unto sakes ye may learn glorify name god,0.10327955589886445,Similar Theme,27,61,True,True,Proto,isaiah,isaiah
2,Isaiah 1:1,Isaiah,1.0,1.0,"THE vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.",2 Nephi 11:8,2 Nephi,11.0,8.0,"And now I write some of the words of Isaiah, that whoso of my people shall see these words may lift up their hearts and rejoice for all men. Now these are the words, and ye may liken them unto you and unto all men.",vision isaiah son amoz saw concerning judah jerusalem days uzziah jotham ahaz hezekiah kings judah,write words isaiah whoso people shall see words may lift hearts rejoice men words ye may liken unto unto men,0.05773502691896257,Similar Theme,27,45,True,True,Proto,isaiah,isaiah
3,Isaiah 1:1,Isaiah,1.0,1.0,"THE vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.",2 Nephi 25:1,2 Nephi,25.0,1.0,"Now I, Nephi, do speak somewhat concerning the words which I have written, which have been spoken by the mouth of Isaiah. For behold, Isaiah spake many things which were hard for many of my people to understand; for they know not concerning the manner of prophesying among the Jews.",vision isaiah son amoz saw concerning judah jerusalem days uzziah jotham ahaz hezekiah kings judah,nephi speak somewhat concerning words written spoken mouth isaiah behold isaiah spake many things hard many people understand know concerning manner prophesying among jews,0.10540925533894598,Similar Theme,27,50,True,True,Proto,isaiah,isaiah
4,Isaiah 1:1,Isaiah,1.0,1.0,"THE vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.",3 Nephi 20:11,3 Nephi,20.0,11.0,"Ye remember that I spake unto you, and said that when the words of Isaiah should be fulfilled--behold they are written, ye have them before you, therefore search them--",vision isaiah son amoz saw concerning judah jerusalem days uzziah jotham ahaz hezekiah kings judah,ye remember spake unto said words isaiah fulfilled behold written ye therefore search,0.0716114874039433,Similar Theme,27,29,True,True,Proto,isaiah,isaiah
5,Isaiah 1:2,Isaiah,1.0,2.0,"Hear, O heavens, and give ear, O earth: for the LORD hath spoken, I have nourished and brought up children, and they have rebelled against me.",,,,,,hear heavens give ear earth lord hath spoken nourished brought children rebelled,NA,0.0,,26,0,True,False,Proto,heaven,
6,Isaiah 1:3,Isaiah,1.0,3.0,"The ox knoweth his owner, and the ass his master's crib: but Israel doth not know, my people doth not consider.",2 Nephi 15:13,2 Nephi,15.0,13.0,"Therefore, my people are gone into captivity, because they have no knowledge; and their honorable men are famished, and their multitude dried up with thirst.",ox knoweth owner ass masters crib israel doth know people doth consider,therefore people gone captivity knowledge honorable men famished multitude dried thirst,0.08703882797784893,Similar Theme,21,25,True,True,Proto,israel,knowledge
7,Isaiah 1:4,Isaiah,1.0,4.0,"Ah sinful nation, a people laden with iniquity, a seed of evildoers, children that are corrupters: they have forsaken the LORD, they have provoked the Holy One of Israel unto anger, they are gone away backward.",,,,,,ah sinful nation people laden iniquity seed evildoers children corrupters forsaken lord provoked holy one israel unto anger gone away backward,NA,0.0,,36,0,True,False,Proto,lord,
8,Isaiah 1:5,Isaiah,1.0,5.0,"Why should ye be stricken any more? ye will revolt more and more: the whole head is sick, and the whole heart faint.",Helaman 7:17,Helaman,7.0,17.0,"O repent ye, repent ye! Why will ye die? Turn ye, turn ye unto the Lord your God. Why has he forsaken you?",ye stricken ye revolt whole head sick whole heart faint,repent ye repent ye ye die turn ye turn ye unto lord god forsaken,0.1690308509457033,Similar Theme,23,23,False,True,Proto,,lord
9,Isaiah 1:6,Isaiah,1.0,6.0,"From the sole of the foot even unto the head there is no soundness in it; but wounds, and bruises, and putrifying sores: they have not been closed, neither bound up, neither mollified with ointment.",,,,,,sole foot even unto head soundness wounds bruises putrifying sores closed neither bound neither mollified ointment,NA,0.0,,35,0,False,False,Proto,,
