,Isaiah_chapter,BoM_chapter
0,Isaiah 1:1,1 Nephi 19:23
1,Isaiah 1:1,2 Nephi 6:4
2,Isaiah 1:1,2 Nephi 11:8
3,Isaiah 1:1,2 Nephi 25:1
4,Isaiah 1:1,3 Nephi 20:11
5,Isaiah 1:3,2 Nephi 15:13
6,Isaiah 1:5,Helaman 7:17
7,Isaiah 1:7,2 Nephi 13:8
8,Isaiah 1:15,Mosiah 11:25
9,Isaiah 1:20,Alma 60:29
10,Isaiah 1:23,2 Nephi 19:16
11,Isaiah 1:24,2 Nephi 6:18
12,Isaiah 2:1,2 Nephi 12:1
13,Isaiah 2:2,3 Nephi 21:25
14,Isaiah 2:3,2 Nephi 8:4
15,Isaiah 2:3,3 Nephi 20:22
16,Isaiah 2:4,2 Nephi 12:4
17,Isaiah 2:4,2 Nephi 21:9
18,Isaiah 2:5,2 Nephi 12:5
19,Isaiah 2:6,2 Nephi 12:6
20,Isaiah 2:7,2 Nephi 12:7
21,Isaiah 2:8,2 Nephi 12:8
22,Isaiah 2:9,2 Nephi 12:9
23,Isaiah 2:10,2 Nephi 12:10
24,Isaiah 2:11,2 Nephi 12:11
25,Isaiah 2:14,2 Nephi 12:14
26,Isaiah 2:15,2 Nephi 12:15
27,Isaiah 2:16,2 Nephi 12:16
28,Isaiah 2:17,2 Nephi 12:17
29,Isaiah 2:17,2 Nephi 15:15
30,Isaiah 2:18,2 Nephi 12:18
31,Isaiah 2:19,2 Nephi 12:19
32,Isaiah 2:19,2 Nephi 12:21
33,Isaiah 2:20,2 Nephi 12:20
34,Isaiah 2:22,2 Nephi 12:22
35,Isaiah 5:8,2 Nephi 15:8
36,Isaiah 3:1,2 Nephi 13:1
37,Isaiah 5:8,Helaman 7:26
38,Isaiah 3:3,2 Nephi 13:3
39,Isaiah 5:9,2 Nephi 15:9
40,Isaiah 3:4,2 Nephi 13:4
41,Isaiah 5:9,Helaman 15:1
42,Isaiah 3:5,2 Nephi 13:5
43,Isaiah 5:10,2 Nephi 15:10
44,Isaiah 3:6,2 Nephi 13:6
45,Isaiah 5:11,2 Nephi 15:11
46,Isaiah 3:7,2 Nephi 13:7
47,Isaiah 5:14,2 Nephi 15:14
48,Isaiah 3:9,2 Nephi 13:9
49,Isaiah 5:15,2 Nephi 15:15
50,Isaiah 3:11,2 Nephi 13:11
51,Isaiah 5:16,2 Nephi 15:16
52,Isaiah 3:12,2 Nephi 13:12
